window_start,window_end,symbol,avg_price,total_volume,buy_volume,sell_volume,high,low,open,close
2026-05-05 12:04:15,2026-05-05 12:04:20,SOLUSDT,84.95062500000002,8.841999999999999,0.2,8.641999999999998,84.96,84.95,84.95,84.95
2026-05-05 12:04:15,2026-05-05 12:04:20,ETHUSDT,2378.603333333333,1.1661,0.2151,0.951,2378.61,2378.6,2378.6,2378.61
2026-05-05 12:04:15,2026-05-05 12:04:20,BTCUSDT,80980.01833333334,0.02345,0.01964,0.00381,80980.02,80980.01,80980.02,80980.02
2026-05-05 12:04:15,2026-05-05 12:04:20,BNBUSDT,628.2574999999999,1.973,0.506,1.467,628.26,628.25,628.26,628.26
2026-05-05 12:04:20,2026-05-05 12:04:25,BNBUSDT,628.2557142857144,7.364000000000001,2.897,4.4670000000000005,628.26,628.25,628.25,628.26
2026-05-05 12:04:20,2026-05-05 12:04:25,ETHUSDT,2378.601333333333,0.5578000000000001,0.0205,0.5373,2378.61,2378.6,2378.6,2378.6
2026-05-05 12:04:20,2026-05-05 12:04:25,BTCUSDT,80980.01416666666,0.0165699999999999,0.00352,0.0130499999999999,80980.02,80980.01,80980.02,80980.02
2026-05-05 12:04:20,2026-05-05 12:04:25,SOLUSDT,84.95125,15.641,9.613,6.0280000000000005,84.96,84.95,84.95,84.95
2026-05-05 12:04:25,2026-05-05 12:04:30,BNBUSDT,628.2595652173915,2.736,2.661,0.075,628.26,628.25,628.26,628.25
2026-05-05 12:04:30,2026-05-05 12:04:35,SOLUSDT,84.955,4.158,3.473,0.685,84.96,84.95,84.96,84.95
2026-05-05 12:04:25,2026-05-05 12:04:30,BTCUSDT,80980.01299999999,0.03403,0.00163,0.0324,80980.02,80980.01,80980.01,80980.02
2026-05-05 12:04:25,2026-05-05 12:04:30,ETHUSDT,2378.6040000000003,1.2568,0.5519000000000001,0.7049000000000001,2378.61,2378.6,2378.61,2378.61
2026-05-05 12:04:25,2026-05-05 12:04:30,SOLUSDT,84.95214285714285,55.253,8.516,46.737,84.96,84.95,84.96,84.95
2026-05-05 12:04:30,2026-05-05 12:04:35,BNBUSDT,628.255,4.488,0.636,3.852,628.26,628.25,628.25,628.25
2026-05-05 12:04:30,2026-05-05 12:04:35,ETHUSDT,2378.605,0.0355,0.0315,0.004,2378.61,2378.6,2378.61,2378.6
2026-05-05 12:04:30,2026-05-05 12:04:35,XRPUSDT,1.4071999999999998,9488.9,9488.9,0.0,1.4072,1.4072,1.4072,1.4072
2026-05-05 12:04:30,2026-05-05 12:04:35,BTCUSDT,80980.01777777779,0.02126,0.01163,0.00963,80980.02,80980.01,80980.01,80980.02
2026-05-05 12:04:35,2026-05-05 12:04:40,XRPUSDT,1.4071176470588236,4283.9,345.1,3938.8,1.4072,1.4071,1.4071,1.4072
2026-05-05 12:04:35,2026-05-05 12:04:40,BTCUSDT,80980.01166666667,0.03627,0.02706,0.00921,80980.02,80980.01,80980.01,80980.01
2026-05-05 12:04:40,2026-05-05 12:04:45,BNBUSDT,628.258,3.04,0.288,2.752,628.26,628.25,628.26,628.25
2026-05-05 12:04:40,2026-05-05 12:04:45,BTCUSDT,80980.01666666666,0.1124,0.0105099999999999,0.10189,80980.02,80980.01,80980.02,80980.02
2026-05-05 12:04:40,2026-05-05 12:04:45,XRPUSDT,1.4071,5.0,0.0,5.0,1.4071,1.4071,1.4071,1.4071
2026-05-05 12:04:40,2026-05-05 12:04:45,ETHUSDT,2378.6015384615384,1.2378,0.0253,1.2125,2378.61,2378.6,2378.6,2378.6
